Age,,Primary streaming service,Hours per day,While working,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,,
10,Children,Spotify,3,Yes,Latin,Yes,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Very frequently,Never,Sometimes,0,0,0,0,,,
12,Children,Spotify,1.5,Yes,Rock,No,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,0,0,0,0,,,
12,Children,Spotify,4,No,Video game music,Yes,Never,Never,Very frequently,Never,Never,Rarely,Rarely,Very frequently,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Very frequently,0,0,0,0,No effect,,
12,Children,Spotify,2.5,Yes,Jazz,Yes,Sometimes,Never,Never,Rarely,Sometimes,Never,Very frequently,Sometimes,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,0,0,0,0,Improve,,
13,Children,Spotify,4,Yes,R&B,No,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,0,0,0,0,Improve,,
13,Children,Spotify,5,Yes,Jazz,Yes,Rarely,Sometimes,Never,Never,Never,Sometimes,Very frequently,Very frequently,Rarely,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Never,0,0,0,0,Improve,,
13,Children,YouTube Music,3,Yes,Video game music,Yes,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,0,0,0,0,Improve,,
13,Children,Spotify,1,Yes,K pop,Yes,Never,Never,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,0,0,0,0,Improve,,
13,Children,Spotify,6,Yes,Rock,No,Never,Very frequently,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,0,0,0,0,Improve,,
13,Children,I do not use a streaming service.,1,Yes,R&B,Yes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,0,0,0,0,Improve,,
13,Children,Spotify,3,Yes,Country,No,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,0,0,0,0,No effect,,
13,Children,YouTube Music,8,Yes,EDM,No,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,0,0,0,0,Improve,,
14,Children,Spotify,2,Yes,Country,No,Never,Very frequently,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Never,Never,0,0,0,0,Improve,,
14,Children,Spotify,4,Yes,Jazz,Yes,Very frequently,Rarely,Never,Never,Never,Never,Very frequently,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,0,0,0,0,Improve,,
14,Children,Spotify,2,No,Pop,Yes,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Rarely,0,0,0,0,Worsen,,
14,Children,Spotify,8,Yes,Hip hop,Yes,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Rarely,0,0,0,0,Improve,,
14,Children,Spotify,12,Yes,Hip hop,Yes,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,0,0,0,0,Improve,,
14,Children,Spotify,24,Yes,Rap,No,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Very frequently,Never,0,0,0,0,Improve,,
14,Children,Spotify,3,No,Hip hop,No,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Very frequently,Rarely,Never,0,0,0,0,Improve,,
14,Children,Apple Music,8,Yes,Hip hop,Yes,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Rarely,Very frequently,Sometimes,Sometimes,0,0,0,0,Improve,,
14,Children,Spotify,4,Yes,Rap,No,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Very frequently,Sometimes,Never,0,0,0,0,Improve,,
14,Children,I do not use a streaming service.,5,Yes,R&B,Yes,Rarely,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Sometimes,Never,Never,Rarely,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,0,0,0,0,Improve,,
14,Children,Spotify,2,Yes,Pop,Yes,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,Very frequently,Never,Never,Never,Rarely,0,0,0,0,No effect,,
14,Children,Other streaming service,3,Yes,Rock,Yes,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Very frequently,Sometimes,0,0,0,0,Improve,,
